Pais;code;index
Estados Unidos;USA;8,4
Luxemburgo;LUX;4,3
Noruega;NOR;4,3
Brasil ;BRA;5,2
Swazilandia;CHE;3,8
Islandia;ISL;3,9
Canadá;CAN;4,7
Irlanda;IRL;3,5
Alemania;DEU;4,3
Suecia;SWE;3,8
Dinamarca;DNK;3,6
Australia;AUS;3,7
Finlandia;FIN;3,5
Austria;AUT;3,3
Francia;FRA;3,5
Holanda;NLD;3,4
Japón;JPN;3,1
Inglaterra;GB;3,4
Bélgica;BEL;3,1
Italia;ITA;3,2
Nueva Zelanda;NZL;3,2
España;ESP;3,0
Israel;ISR;2,5
Korea del Sur;PRK;2,3
Korea del Norte;KOR;2,3
Eslovenia;SVN;2,4
República Checa;CZE;2,4
Portugal;PRT;2,1
Estonia;EST;2,3
Rusia;RUS;2,1
Chile;CHL;1,9
Solvakia;SVK;2,0
Lituania;LTU;2,0
Grecia;GRC;1,7
Latvia;LVA;1,8
México;MEX;1,7
Hungría;HUN;1,8
Polonia;POL;1,9
Colombia;COL;1,5
Sudafrica ;ZAF;1,3
Turkía;TUR;1,4